,boxID,burg,mvt,other,stc,district,precinct
0,1,11,20,1112,223,510,NO
1,2,2,2,274,81,520,NO
2,3,19,59,3007,732,530,NO
3,4,6,15,1991,237,540,NO
4,5,10,21,1507,332,550,NO
5,6,13,22,2085,425,560,NO
6,7,5,10,720,88,570,NO
7,8,7,14,1638,400,580,NO
8,9,7,22,1685,292,590,NO
9,10,4,6,474,102,610,NO
10,11,9,11,940,215,620,NO
11,12,8,10,1280,356,630,NO
12,13,9,24,1560,404,641,NO
13,14,0,2,389,46,642,NO
14,15,10,50,2468,384,651,NO
15,16,6,18,500,104,652,NO
16,17,4,6,572,56,660,NO
17,18,4,14,1612,245,670,NO
18,19,4,24,1727,237,680,NO
19,20,5,14,2508,432,690,NO
20,21,1,20,2717,475,711,CE
21,22,11,17,1329,180,712,CE
22,23,13,22,2038,255,720,CE
23,24,8,21,2199,305,730,CE
24,25,7,18,1222,176,741,CE
25,26,6,13,1056,149,742,CE
26,27,4,2,293,21,800,CE
27,28,10,15,2863,429,810,CE
28,29,4,5,1831,370,821,CE
29,30,5,14,2291,896,822,CE
30,31,6,12,2659,750,830,CE
31,32,8,5,1748,303,841,CE
32,33,7,21,3678,845,842,CE
33,34,3,11,2210,296,850,CE
34,35,5,3,815,30,860,CE
35,36,3,1,316,29,871,CE
36,37,6,3,866,73,872,CE
37,38,4,7,1042,155,881,CE
38,39,4,6,912,162,882,CE
39,40,7,1,1019,113,890,CE
40,41,14,21,1382,156,901,EA
41,42,7,19,980,154,902,EA
42,43,7,35,1809,292,911,EA
43,44,13,38,1819,401,912,EA
44,45,11,31,1308,227,921,EA
45,46,7,30,1472,341,922,EA
46,47,10,33,1774,466,923,EA
47,48,22,30,2531,545,931,EA
48,49,11,31,2456,465,932,EA
49,50,15,42,3554,575,941,EA
50,51,13,24,1274,264,942,EA
51,52,12,33,2101,458,951,EA
52,53,10,60,2519,707,952,EA
53,54,17,33,2381,780,961,EA
54,55,14,31,1317,321,962,EA
55,56,9,58,1940,418,971,EA
56,57,16,48,2748,875,972,EA
57,58,19,40,2307,519,981,EA
58,59,5,34,996,217,982,EA
59,60,5,33,1044,230,990,EA
